country,sex,age_group,year,population_000
alb,mf,total,1996,2098.6259765625
alb,mf,youth,1996,545.5339965820312
alb,mf,adult,1996,1553.092041015625
alb,m,total,1996,1017.405029296875
alb,m,youth,1996,269.03900146484375
alb,m,adult,1996,748.3660278320312
alb,f,total,1996,1081.220947265625
alb,f,youth,1996,276.4949951171875
alb,f,adult,1996,804.7260131835938
alb,mf,total,1997,2113.264892578125
alb,mf,youth,1997,537.197021484375
alb,mf,adult,1997,1576.0679931640625
alb,m,total,1997,1033.2679443359375
alb,m,youth,1997,264.54998779296875
alb,m,adult,1997,768.718017578125
alb,f,total,1997,1079.9969482421875
alb,f,youth,1997,272.6470031738281
alb,f,adult,1997,807.3499755859375
alb,mf,total,1998,2133.638916015625
alb,mf,youth,1998,531.1129760742188
alb,mf,adult,1998,1602.5260009765625
alb,m,total,1998,1054.14599609375
alb,m,youth,1998,261.2349853515625
alb,m,adult,1998,792.9110107421875
alb,f,total,1998,1079.492919921875
alb,f,youth,1998,269.87799072265625
alb,f,adult,1998,809.614990234375
alb,mf,total,1999,2155.886962890625
alb,mf,youth,1999,527.5269775390625
alb,mf,adult,1999,1628.3599853515625
alb,m,total,1999,1075.1619873046875
alb,m,youth,1999,258.63800048828125
alb,m,adult,1999,816.5239868164062
alb,f,total,1999,1080.7249755859375
alb,f,youth,1999,268.8890075683594
alb,f,adult,1999,811.8359985351562
alb,mf,total,2000,2177.155029296875
alb,mf,youth,2000,526.7940063476562
alb,mf,adult,2000,1650.3609619140625
alb,m,total,2000,1092.8189697265625
alb,m,youth,2000,256.7309875488281
alb,m,adult,2000,836.0880126953125
alb,f,total,2000,1084.3360595703125
alb,f,youth,2000,270.06298828125
alb,f,adult,2000,814.2730102539062
alb,mf,total,2001,2198.2119140625
alb,mf,youth,2001,529.52001953125
alb,mf,adult,2001,1668.6920166015625
alb,m,total,2001,1104.2220458984375
alb,m,youth,2001,259.0350036621094
alb,m,adult,2001,845.18701171875
alb,f,total,2001,1093.9898681640625
alb,f,youth,2001,270.4849853515625
alb,f,adult,2001,823.5050048828125
alb,mf,total,2002,2219.818115234375
alb,mf,youth,2002,536.219970703125
alb,mf,adult,2002,1683.5980224609375
alb,m,total,2002,1113.2149658203125
alb,m,youth,2002,262.68499755859375
alb,m,adult,2002,850.530029296875
alb,f,total,2002,1106.6031494140625
alb,f,youth,2002,273.5350036621094
alb,f,adult,2002,833.0679931640625
alb,mf,total,2003,2240.69189453125
alb,mf,youth,2003,546.4520263671875
alb,mf,adult,2003,1694.239990234375
alb,m,total,2003,1120.218017578125
alb,m,youth,2003,267.7699890136719
alb,m,adult,2003,852.447998046875
alb,f,total,2003,1120.473876953125
alb,f,youth,2003,278.6820068359375
alb,f,adult,2003,841.7919921875
alb,mf,total,2004,2258.541015625
alb,mf,youth,2004,558.3389892578125
alb,mf,adult,2004,1700.2020263671875
alb,m,total,2004,1125.7779541015625
alb,m,youth,2004,273.8059997558594
alb,m,adult,2004,851.9719848632812
alb,f,total,2004,1132.7630615234375
alb,f,youth,2004,284.5329895019531
alb,f,adult,2004,848.22998046875
alb,mf,total,2005,2271.8349609375
alb,mf,youth,2005,570.1329956054688
alb,mf,adult,2005,1701.7020263671875
alb,m,total,2005,1130.3790283203125
alb,m,youth,2005,280.27899169921875
alb,m,adult,2005,850.0999755859375
alb,f,total,2005,1141.4559326171875
alb,f,youth,2005,289.85400390625
alb,f,adult,2005,851.6019897460938
alb,mf,total,2006,2280.2958984375
alb,mf,youth,2006,567.3079833984375
alb,mf,adult,2006,1712.988037109375
alb,m,total,2006,1134.7840576171875
alb,m,youth,2006,283.3699951171875
alb,m,adult,2006,851.4140014648438
alb,f,total,2006,1145.5118408203125
alb,f,youth,2006,283.93798828125
alb,f,adult,2006,861.573974609375
alb,mf,total,2007,2281.22509765625
alb,mf,youth,2007,561.2130126953125
alb,mf,adult,2007,1720.011962890625
alb,m,total,2007,1137.06103515625
alb,m,youth,2007,285.16900634765625
alb,m,adult,2007,851.8920288085938
alb,f,total,2007,1144.1640625
alb,f,youth,2007,276.04400634765625
alb,f,adult,2007,868.1199951171875
alb,mf,total,2008,2278.759033203125
alb,mf,youth,2008,553.6430053710938
alb,mf,adult,2008,1725.115966796875
alb,m,total,2008,1138.2779541015625
alb,m,youth,2008,285.94500732421875
alb,m,adult,2008,852.3330078125
alb,f,total,2008,1140.4810791015625
alb,f,youth,2008,267.697998046875
alb,f,adult,2008,872.7830200195312
alb,mf,total,2009,2277.4560546875
alb,mf,youth,2009,545.9650268554688
alb,mf,adult,2009,1731.490966796875
alb,m,total,2009,1139.3489990234375
alb,m,youth,2009,285.7409973144531
alb,m,adult,2009,853.6079711914062
alb,f,total,2009,1138.1070556640625
alb,f,youth,2009,260.2239990234375
alb,f,adult,2009,877.8829956054688
alb,mf,total,2010,2280.15087890625
alb,mf,youth,2010,539.155029296875
alb,mf,adult,2010,1740.9959716796875
alb,m,total,2010,1140.7750244140625
alb,m,youth,2010,284.6700134277344
alb,m,adult,2010,856.10498046875
alb,f,total,2010,1139.3758544921875
alb,f,youth,2010,254.48500061035156
alb,f,adult,2010,884.8909912109375
alb,mf,total,2011,2291.23193359375
alb,mf,youth,2011,541.3740234375
alb,mf,adult,2011,1749.8580322265625
alb,m,total,2011,1143.5450439453125
alb,m,youth,2011,284.843994140625
alb,m,adult,2011,858.7009887695312
alb,f,total,2011,1147.6868896484375
alb,f,youth,2011,256.5299987792969
alb,f,adult,2011,891.156982421875
alb,mf,total,2012,2306.60498046875
alb,mf,youth,2012,542.0770263671875
alb,mf,adult,2012,1764.5279541015625
alb,m,total,2012,1146.5909423828125
alb,m,youth,2012,283.5539855957031
alb,m,adult,2012,863.0369873046875
alb,f,total,2012,1160.0140380859375
alb,f,youth,2012,258.52301025390625
alb,f,adult,2012,901.4910278320312
alb,mf,total,2013,2324.43505859375
alb,mf,youth,2013,540.822998046875
alb,mf,adult,2013,1783.612060546875
alb,m,total,2013,1149.8790283203125
alb,m,youth,2013,280.9649963378906
alb,m,adult,2013,868.9140014648438
alb,f,total,2013,1174.5560302734375
alb,f,youth,2013,259.8580017089844
alb,f,adult,2013,914.697998046875
alb,mf,total,2014,2342.64794921875
alb,mf,youth,2014,536.969970703125
alb,mf,adult,2014,1805.677978515625
alb,m,total,2014,1153.656982421875
alb,m,youth,2014,277.33099365234375
alb,m,adult,2014,876.3259887695312
alb,f,total,2014,1188.990966796875
alb,f,youth,2014,259.6390075683594
alb,f,adult,2014,929.3519897460938
alb,mf,total,2015,2359.455078125
alb,mf,youth,2015,529.9810180664062
alb,mf,adult,2015,1829.4739990234375
alb,m,total,2015,1157.916015625
alb,m,youth,2015,272.7539978027344
alb,m,adult,2015,885.1619873046875
alb,f,total,2015,1201.5390625
alb,f,youth,2015,257.22698974609375
alb,f,adult,2015,944.31201171875
alb,mf,total,2016,2368.840087890625
alb,mf,youth,2016,517.4760131835938
alb,mf,adult,2016,1851.364013671875
alb,m,total,2016,1160.5159912109375
alb,m,youth,2016,265.7539978027344
