country,sex,age_group,year,employment_thousands
dza,mf,youth,2009,1697.072998046875
dza,mf,adult,2009,8026.93798828125
dza,m,total,2009,8235.755859375
dza,m,youth,2009,1489.9681396484375
dza,m,adult,2009,6745.78759765625
dza,f,total,2009,1488.2552490234375
dza,f,youth,2009,207.10494995117188
dza,f,adult,2009,1281.1502685546875
dza,mf,total,2010,9988.130859375
dza,mf,youth,2010,1644.7799072265625
dza,mf,adult,2010,8343.3515625
dza,m,total,2010,8472.9697265625
dza,m,youth,2010,1435.333740234375
dza,m,adult,2010,7037.63671875
dza,f,total,2010,1515.1610107421875
dza,f,youth,2010,209.4459991455078
dza,f,adult,2010,1305.715087890625
dza,mf,total,2011,10176.58984375
dza,mf,youth,2011,1576.19873046875
dza,mf,adult,2011,8600.390625
dza,m,total,2011,8502.017578125
dza,m,youth,2011,1360.3016357421875
dza,m,adult,2011,7141.716796875
dza,f,total,2011,1674.571044921875
dza,f,youth,2011,215.89706420898438
dza,f,adult,2011,1458.6739501953125
dza,mf,total,2012,10274.298828125
dza,mf,youth,2012,1421.7513427734375
dza,mf,adult,2012,8852.548828125
dza,m,total,2012,8466.2373046875
dza,m,youth,2012,1200.333984375
dza,m,adult,2012,7265.90283203125
dza,f,total,2012,1808.062744140625
dza,f,youth,2012,221.41734313964844
dza,f,adult,2012,1586.645263671875
dza,mf,total,2013,10822.2197265625
